IterationNo,Temperature, Moves, CurrentCost, DeltaCost
1,25000.000000,500.000000,2714135.455583,95.124245
2,25000.000000,500.000000,2714230.579829,-12103.323165
3,25000.000000,510.000000,2702127.256663,-226.802827
4,25000.000000,520.000000,2701900.453836,-137.041512
5,25000.000000,530.000000,2701763.412324,-16419.984490
6,25000.000000,540.000000,2685343.427834,-15251.550348
7,25000.000000,550.000000,2670091.877486,-1561.448750
8,25000.000000,560.000000,2668530.428736,-5889.205991
9,25000.000000,570.000000,2662641.222745,-710.512067
10,25000.000000,580.000000,2661930.710678,-431.323365
11,25000.000000,590.000000,2661499.387313,-397.103761
12,25000.000000,600.000000,2661102.283553,417.279629
13,25000.000000,600.000000,2661519.563182,-11805.528527
14,25000.000000,610.000000,2649714.034655,-1226.340782
15,25000.000000,620.000000,2648487.693874,-19609.234928
16,25000.000000,630.000000,2628878.458945,-15530.732802
17,25000.000000,640.000000,2613347.726143,-15878.793669
18,25000.000000,650.000000,2597468.932474,3126.600131
19,25000.000000,650.000000,2600595.532604,-340.446773
20,25000.000000,660.000000,2600255.085831,1506.137370
21,25000.000000,660.000000,2601761.223201,-2178.400951
22,25000.000000,670.000000,2599582.822250,-1349.639873
23,25000.000000,680.000000,2598233.182378,-3131.086050
24,25000.000000,690.000000,2595102.096328,241.061510
25,25000.000000,690.000000,2595343.157838,-23122.415857
27,25000.000000,700.000000,2572220.741981,501.001945
28,25000.000000,700.000000,2572721.743926,-24820.548551
29,25000.000000,710.000000,2547901.195376,-23561.700888
30,25000.000000,720.000000,2524339.494488,1882.761695
31,25000.000000,720.000000,2526222.256183,-2443.136071
32,25000.000000,730.000000,2523779.120112,2727.138531
33,25000.000000,730.000000,2526506.258643,125.586262
34,25000.000000,730.000000,2526631.844905,-895.037628
35,25000.000000,740.000000,2525736.807278,0.000000
36,25000.000000,730.000000,2525736.807278,288.304643
37,25000.000000,730.000000,2526025.111920,-20085.262314
38,25000.000000,740.000000,2505939.849607,0.000000
39,25000.000000,730.000000,2505939.849607,-30106.188875
40,25000.000000,740.000000,2475833.660732,-1811.579636
41,25000.000000,750.000000,2474022.081095,-787.648630
42,25000.000000,760.000000,2473234.432465,1867.448024
43,25000.000000,760.000000,2475101.880489,1867.037370
44,25000.000000,760.000000,2476968.917859,277.211912
45,25000.000000,760.000000,2477246.129770,-20212.492170
46,25000.000000,770.000000,2457033.637600,81.649782
47,25000.000000,770.000000,2457115.287383,116.251972
48,25000.000000,770.000000,2457231.539355,-2345.778372
49,25000.000000,780.000000,2454885.760983,-712.814271
50,25000.000000,790.000000,2454172.946712,-23946.109047
51,25000.000000,800.000000,2430226.837665,-2257.832172
52,25000.000000,810.000000,2427969.005494,3272.907580
53,25000.000000,810.000000,2431241.913074,0.000000
54,25000.000000,800.000000,2431241.913074,832.715052
55,25000.000000,800.000000,2432074.628125,-33224.676740
56,25000.000000,810.000000,2398849.951386,2827.711822
57,25000.000000,810.000000,2401677.663208,-2759.727071
58,25000.000000,820.000000,2398917.936137,-16774.468138
59,25000.000000,830.000000,2382143.467999,359.669624
60,25000.000000,830.000000,2382503.137622,0.000000
61,25000.000000,820.000000,2382503.137622,988.269497
62,25000.000000,820.000000,2383491.407120,-10854.060017
63,25000.000000,830.000000,2372637.347103,-1144.419364
64,25000.000000,840.000000,2371492.927739,-2510.403793
65,25000.000000,850.000000,2368982.523946,0.000000
66,25000.000000,840.000000,2368982.523946,-18376.496545
67,25000.000000,850.000000,2350606.027402,-24604.695245
68,25000.000000,860.000000,2326001.332157,21896.607420
69,25000.000000,860.000000,2347897.939577,-18646.013350
70,25000.000000,870.000000,2329251.926227,1076.864334
